table,rows_loaded,rows_rejected,status,timestamp
companies,92,0,SUCCESS,2026-07-17 06:29:17.968314
profitandloss,1276,0,SUCCESS,2026-07-17 06:29:17.987197
balancesheet,1312,0,SUCCESS,2026-07-17 06:29:18.002244
cashflow,1187,0,SUCCESS,2026-07-17 06:29:18.016992
analysis,20,0,SUCCESS,2026-07-17 06:29:18.023428
documents,1585,0,SUCCESS,2026-07-17 06:29:18.038081
prosandcons,16,0,SUCCESS,2026-07-17 06:29:18.044561
sectors,92,0,SUCCESS,2026-07-17 06:29:18.051751
stock_prices,5520,0,SUCCESS,2026-07-17 06:29:18.101418
financial_ratios,1184,0,SUCCESS,2026-07-17 06:29:18.118621
peer_groups,56,0,SUCCESS,2026-07-17 06:29:18.125438
market_cap,552,0,SUCCESS,2026-07-17 06:29:18.135527
