company_id,issue,category
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ABB,ROE Difference,Formula Discrepancy
ADANIENSOL,ROE Difference,Formula Discrepancy
ADANIENSOL,ROE Difference,Formula Discrepancy
ADANIENSOL,ROE Difference,Formula Discrepancy
ADANIENSOL,ROE Difference,Formula Discrepancy
ADANIENSOL,ROE Difference,Formula Discrepancy
ADANIENSOL,ROE Difference,Formula Discrepancy
ADANIENT,ROE Difference,Formula Discrepancy
ADANIENT,ROE Difference,Formula Discrepancy
ADANIENT,ROE Difference,Formula Discrepancy
ADANIENT,ROE Difference,Formula Discrepancy
ADANIENT,ROE Difference,Formula Discrepancy
ADANIENT,ROE Difference,Formula Discrepancy
ADANIENT,ROE Difference,Formula Discrepancy
ADANIENT,ROE Difference,Formula Discrepancy
ADANIENT,ROE Difference,Formula Discrepancy
ADANIENT,ROE Difference,Formula Discrepancy
ADANIGREEN,ROE Difference,Formula Discrepancy
ADANIGREEN,ROE Difference,Formula Discrepancy
ADANIGREEN,ROE Difference,Formula Discrepancy
ADANIGREEN,ROE Difference,Formula Discrepancy
ADANIGREEN,ROE Difference,Formula Discrepancy
ADANIPORTS,ROE Difference,Formula Discrepancy
ADANIPORTS,ROE Difference,Formula Discrepancy
ADANIPORTS,ROE Difference,Formula Discrepancy
ADANIPORTS,ROE Difference,Formula Discrepancy
ADANIPORTS,ROE Difference,Formula Discrepancy
ADANIPORTS,ROE Difference,Formula Discrepancy
ADANIPOWER,ROE Difference,Formula Discrepancy
ADANIPOWER,ROE Difference,Formula Discrepancy
ADANIPOWER,ROE Difference,Formula Discrepancy
ADANIPOWER,ROE Difference,Formula Discrepancy
ADANIPOWER,ROE Difference,Formula Discrepancy
ADANIPOWER,ROE Difference,Formula Discrepancy
ADANIPOWER,ROE Difference,Formula Discrepancy
ADANIPOWER,ROE Difference,Formula Discrepancy
ADANIPOWER,ROE Difference,Formula Discrepancy
ADANIPOWER,ROE Difference,Formula Discrepancy
ADANIPOWER,ROE Difference,Formula Discrepancy
ADANIPOWER,ROE Difference,Formula Discrepancy
AMBUJACEM,ROE Difference,Formula Discrepancy
AMBUJACEM,ROE Difference,Formula Discrepancy
AMBUJACEM,ROE Difference,Formula Discrepancy
APOLLOHOSP,ROE Difference,Formula Discrepancy
APOLLOHOSP,ROE Difference,Formula Discrepancy
APOLLOHOSP,ROE Difference,Formula Discrepancy
APOLLOHOSP,ROE Difference,Formula Discrepancy
APOLLOHOSP,ROE Difference,Formula Discrepancy
APOLLOHOSP,ROE Difference,Formula Discrepancy
ASIANPAINT,ROE Difference,Formula Discrepancy
ASIANPAINT,ROE Difference,Formula Discrepancy
ASIANPAINT,ROE Difference,Formula Discrepancy
ASIANPAINT,ROE Difference,Formula Discrepancy
ASIANPAINT,ROE Difference,Formula Discrepancy
ASIANPAINT,ROE Difference,Formula Discrepancy
